np,dim,n_points,max_iter,delta,rep,version,time_total,time_comm,conv,total
1,3,100,100,0.001,1,classic,0.0554215,,23,35
1,3,100,100,0.001,1,scale_free,0.0672969,0.000375396,24,35
1,3,100,100,0.001,1,small_world,0.0845265,0.000399511,22,35
1,3,100,100,0.001,1,random,0.0723524,0.000319214,24,35
1,3,100,1000,0.001,1,classic,0.245086,,26,35
1,3,100,1000,0.001,1,scale_free,0.245452,0.00128609,28,35
1,3,100,1000,0.001,1,small_world,0.235215,0.00143357,28,35
1,3,100,1000,0.001,1,random,0.271084,0.00155629,27,35
1,10,100,100,0.001,1,classic,0.281529,,17,35
1,10,100,100,0.001,1,scale_free,0.324122,0.00064773,16,35
1,10,100,100,0.001,1,small_world,0.398415,0.000785406,1,35
1,10,100,100,0.001,1,random,0.386403,0.000721536,10,35
1,10,100,1000,0.001,1,classic,1.47936,,17,35
1,10,100,1000,0.001,1,scale_free,1.56586,0.00505659,19,35
1,10,100,1000,0.001,1,small_world,1.71183,0.00441794,20,35
1,10,100,1000,0.001,1,random,1.83609,0.00539128,20,35
2,3,100,100,0.001,1,classic,0.0278694,,24,35
2,3,100,100,0.001,1,scale_free,0.0390332,0.00333638,25,35
2,3,100,100,0.001,1,small_world,0.03777,0.00374785,21,35
2,3,100,100,0.001,1,random,0.0469866,0.0035699,24,35
2,3,100,1000,0.001,1,classic,0.122432,,26,35
2,3,100,1000,0.001,1,scale_free,0.170111,0.0177339,29,35
2,3,100,1000,0.001,1,small_world,0.19658,0.0211016,27,35
2,3,100,1000,0.001,1,random,0.181938,0.0191276,26,35
2,10,100,100,0.001,1,classic,0.16272,,16,35
2,10,100,100,0.001,1,scale_free,0.22538,0.00645924,15,35
2,10,100,100,0.001,1,small_world,0.243324,0.00768555,3,35
2,10,100,100,0.001,1,random,0.20791,0.00708546,11,35
2,10,100,1000,0.001,1,classic,0.803393,,19,35
2,10,100,1000,0.001,1,scale_free,0.935669,0.0440866,19,35
2,10,100,1000,0.001,1,small_world,1.03192,0.0488761,20,35
2,10,100,1000,0.001,1,random,1.03089,0.042436,21,35
4,3,100,100,0.001,1,classic,0.0274878,,23,35
4,3,100,100,0.001,1,scale_free,0.0441952,0.0113186,26,35
4,3,100,100,0.001,1,small_world,0.0552648,0.0150165,23,35
4,3,100,100,0.001,1,random,0.0477835,0.011559,22,35
4,3,100,1000,0.001,1,classic,0.111776,,25,35
4,3,100,1000,0.001,1,scale_free,0.178751,0.058464,27,35
4,3,100,1000,0.001,1,small_world,0.203356,0.0668873,26,35
4,3,100,1000,0.001,1,random,0.187415,0.0638329,27,35
4,10,100,100,0.001,1,classic,0.124707,,13,35
4,10,100,100,0.001,1,scale_free,0.169149,0.0210074,15,35
4,10,100,100,0.001,1,small_world,0.197726,0.0270225,2,35
4,10,100,100,0.001,1,random,0.183641,0.0215704,10,35
4,10,100,1000,0.001,1,classic,0.633273,,17,35
4,10,100,1000,0.001,1,scale_free,0.84951,0.146625,19,35
4,10,100,1000,0.001,1,small_world,0.856509,0.140397,21,35
4,10,100,1000,0.001,1,random,0.96456,0.154802,20,35
